node_id,load,cpu_mean,cpu_p95,cpu_std,volatility_score,queue_mean,queue_p95,eff_blocks_mean,exec_max_p95,miss_p95,ctrl_latency_p95_ms,telemetry_latency_p95_ms,warning
node-717AC4,100,4.88,5,0.6,0.6,0,0,2,1,0,0,108,ok
node-34A9F0,100,5,5,0.5,0.5,0,0,2,1,0,0,138,ok
node-717AC4,200,15.22,16,0.79,0.79,0.67,1,4,2,0,0,75,queue
node-34A9F0,200,15.11,16,1.37,1.37,0,0,4,2,0,0,104,ok
node-717AC4,300,30.38,32,1.8,1.8,0,0,7,4,0,0,57,ok
node-34A9F0,300,28.5,32,3.28,3.28,0,0,7,4,0,0,90,ok
node-717AC4,400,39,43,3.53,3.53,0,0,9,5,0,0,32,ok
node-34A9F0,400,40.22,43,2.74,2.74,0,0,9,5,0,0,65,ok
node-717AC4,500,54.75,60,6.06,6.06,0,0,12,6,0,0,24,ok
node-34A9F0,500,55.88,59,2.62,2.62,0,0,12,6,0,0,58,ok
node-717AC4,600,61.56,67,5.6,5.6,0,0,14,8,0,0,65,ok
node-34A9F0,600,59.75,68,5.78,5.78,0,0,14,8,0,0,94,ok
node-717AC4,700,71,77,7.33,7.33,0,0,16,8,0,0,81,ok
node-34A9F0,700,71.5,74,4.03,4.03,0,0,16,8,0,0,102,ok
node-717AC4,800,85,94,8.08,8.08,0,0,19,10,0,0,113,cpu_saturation
node-34A9F0,800,86.11,95,9.94,9.94,0,0,19,10,0,0,118,cpu_saturation
node-717AC4,900,28.38,61,29.24,29.24,0,0,21,11,20,0,105,miss
node-34A9F0,900,23.25,59,23.3,23.3,0,0,21,11,20,0,110,miss
node-717AC4,1000,7.14,17,9.31,9.31,0,0,24,13,20,0,85,miss
node-34A9F0,1000,20.43,17,33.11,33.11,0,0,24,13,20,0,89,miss
