load,cpu_mean_node-34A9F0,cpu_mean_node-717AC4,cpu_mean_delta,cpu_p95_node-34A9F0,cpu_p95_node-717AC4,cpu_p95_delta,exec_max_p95_node-34A9F0,exec_max_p95_node-717AC4,exec_max_p95_delta,miss_p95_node-34A9F0,miss_p95_node-717AC4,miss_p95_delta,telemetry_latency_p95_ms_node-34A9F0,telemetry_latency_p95_ms_node-717AC4,telemetry_latency_p95_ms_delta
100,5.00,4.88,-0.12,5.00,5.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,138.00,108.00,-30.00
1000,20.43,7.14,-13.29,17.00,17.00,0.00,13.00,13.00,0.00,20.00,20.00,0.00,89.00,85.00,-4.00
200,15.11,15.22,0.11,16.00,16.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,104.00,75.00,-29.00
300,28.50,30.38,1.88,32.00,32.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,90.00,57.00,-33.00
400,40.22,39.00,-1.22,43.00,43.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,65.00,32.00,-33.00
500,55.88,54.75,-1.13,59.00,60.00,1.00,6.00,6.00,0.00,0.00,0.00,0.00,58.00,24.00,-34.00
600,59.75,61.56,1.81,68.00,67.00,-1.00,8.00,8.00,0.00,0.00,0.00,0.00,94.00,65.00,-29.00
700,71.50,71.00,-0.50,74.00,77.00,3.00,8.00,8.00,0.00,0.00,0.00,0.00,102.00,81.00,-21.00
800,86.11,85.00,-1.11,95.00,94.00,-1.00,10.00,10.00,0.00,0.00,0.00,0.00,118.00,113.00,-5.00
900,23.25,28.38,5.13,59.00,61.00,2.00,11.00,11.00,0.00,20.00,20.00,0.00,110.00,105.00,-5.00
