load,cpu_mean_node-34A9F0,cpu_mean_node-717AC4,cpu_mean_delta,cpu_p95_node-34A9F0,cpu_p95_node-717AC4,cpu_p95_delta,exec_max_p95_node-34A9F0,exec_max_p95_node-717AC4,exec_max_p95_delta,miss_p95_node-34A9F0,miss_p95_node-717AC4,miss_p95_delta,telemetry_latency_p95_ms_node-34A9F0,telemetry_latency_p95_ms_node-717AC4,telemetry_latency_p95_ms_delta
100,4.50,4.75,0.25,5.00,5.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,67.00,60.00,-7.00
1000,33.00,20.75,-12.25,70.00,27.00,-43.00,13.00,13.00,0.00,20.00,20.00,0.00,334.00,314.00,-20.00
200,15.12,14.38,-0.74,16.00,15.00,-1.00,2.00,2.00,0.00,0.00,0.00,0.00,91.00,71.00,-20.00
300,30.33,30.44,0.11,33.00,32.00,-1.00,4.00,4.00,0.00,0.00,0.00,0.00,112.00,88.00,-24.00
400,40.00,39.56,-0.44,44.00,41.00,-3.00,5.00,5.00,0.00,0.00,0.00,0.00,129.00,99.00,-30.00
500,54.00,51.67,-2.33,59.00,56.00,-3.00,6.00,6.00,0.00,0.00,0.00,0.00,102.00,82.00,-20.00
600,62.56,64.22,1.66,68.00,70.00,2.00,7.00,7.00,0.00,0.00,0.00,0.00,126.00,105.00,-21.00
700,72.25,74.88,2.63,79.00,77.00,-2.00,8.00,8.00,0.00,0.00,0.00,0.00,106.00,86.00,-20.00
800,85.12,82.11,-3.01,90.00,89.00,-1.00,10.00,10.00,0.00,0.00,0.00,0.00,308.00,299.00,-9.00
900,47.75,42.00,-5.75,65.00,86.00,21.00,11.00,11.00,0.00,20.00,20.00,0.00,308.00,291.00,-17.00
