node_id,load,cpu_mean,cpu_p95,cpu_std,volatility_score,queue_mean,queue_p95,eff_blocks_mean,exec_max_p95,miss_p95,ctrl_latency_p95_ms,telemetry_latency_p95_ms,warning
node-717AC4,100,4.78,5,0.42,0.42,0,0,2,1,0,0,84,ok
node-34A9F0,100,5,5,0.0,0.0,0.56,1,2,1,0,0,97,queue
node-717AC4,200,15,16,0.94,0.94,0,0,4,2,0,0,115,ok
node-34A9F0,200,14.22,16,1.4,1.4,0,0,4,2,0,0,126,ok
node-717AC4,300,28.33,31,3.27,3.27,0.44,1,7,4,0,0,71,queue
node-34A9F0,300,29,30,1.7,1.7,0,0,7,4,0,0,91,ok
node-717AC4,400,39.78,43,2.48,2.48,0,0,9,5,0,0,101,ok
node-34A9F0,400,40.22,43,3.68,3.68,0,0,9,5,0,0,110,ok
node-717AC4,500,54.5,56,1.41,1.41,0,0,12,6,0,0,82,ok
node-34A9F0,500,52.88,56,3.69,3.69,0,0,12,6,0,0,107,ok
node-717AC4,600,63.5,70,6.3,6.3,0,0,14,7,0,0,18,ok
node-34A9F0,600,63.88,70,4.46,4.46,0,0,14,7,0,0,40,ok
node-717AC4,700,72.12,81,6.25,6.25,0,0,16,9,0,0,90,ok
node-34A9F0,700,70.75,82,8.9,8.9,0,0,16,9,0,0,116,ok
node-717AC4,800,81.5,87,6.18,6.18,0,0,19,10,0,0,64,ok
node-34A9F0,800,84.5,92,8.66,8.66,0,0,19,10,0,0,89,cpu_saturation
node-717AC4,900,48.75,94,35.47,35.47,0,0,21,11,20,0,49,miss|cpu_saturation
node-34A9F0,900,31.12,53,25.07,25.07,0,0,21,11,20,0,89,miss
node-717AC4,1000,23,35,10.0,10.0,0,0,24,13,20,0,31,miss
node-34A9F0,1000,16.14,38,16.39,16.39,0,0,24,13,20,0,46,miss
